State,Language,Total Persons
ANDAMAN & NICOBAR ISLANDS,ADI,3
ANDAMAN & NICOBAR ISLANDS,ASSAMESE,207
ANDAMAN & NICOBAR ISLANDS,BENGALI,111193
ANDAMAN & NICOBAR ISLANDS,BHOTIA,1
ANDAMAN & NICOBAR ISLANDS,BODO,5
ANDAMAN & NICOBAR ISLANDS,DIMASA,3
ANDAMAN & NICOBAR ISLANDS,DOGRI,74
ANDAMAN & NICOBAR ISLANDS,ENGLISH,83507
ANDAMAN & NICOBAR ISLANDS,GARO,1
ANDAMAN & NICOBAR ISLANDS,GUJARATI,306
ANDAMAN & NICOBAR ISLANDS,HINDI,303969
ANDAMAN & NICOBAR ISLANDS,KARBI/MIKIR,1
ANDAMAN & NICOBAR ISLANDS,KHASI,10
ANDAMAN & NICOBAR ISLANDS,LUSHAI/MIZO,11
ANDAMAN & NICOBAR ISLANDS,MARATHI,756
ANDAMAN & NICOBAR ISLANDS,NEPALI,991
ANDAMAN & NICOBAR ISLANDS,ODIA,1329
ANDAMAN & NICOBAR ISLANDS,OTHERS,3359
ANDAMAN & NICOBAR ISLANDS,PUNJABI,1851
ANDAMAN & NICOBAR ISLANDS,SANSKRIT,115
ANDAMAN & NICOBAR ISLANDS,SANTALI,310
ANDAMAN & NICOBAR ISLANDS,TAMIL,64993
ANDAMAN & NICOBAR ISLANDS,TELUGU,52575
ANDAMAN & NICOBAR ISLANDS,TIBETAN,1
ANDAMAN & NICOBAR ISLANDS,URDU,2072
ANDHRA PRADESH,ADI,51
ANDHRA PRADESH,ASSAMESE,3290
ANDHRA PRADESH,BENGALI,69444
ANDHRA PRADESH,BHOTIA,150
ANDHRA PRADESH,BODO,727
ANDHRA PRADESH,DEORI,8
ANDHRA PRADESH,DIMASA,143
ANDHRA PRADESH,DOGRI,934
ANDHRA PRADESH,ENGLISH,11047781
ANDHRA PRADESH,GARO,272
ANDHRA PRADESH,GUJARATI,66401
ANDHRA PRADESH,HINDI,10646335
ANDHRA PRADESH,KHASI,37
ANDHRA PRADESH,LADAKHI,5
ANDHRA PRADESH,LUSHAI/MIZO,287
ANDHRA PRADESH,MARATHI,889048
ANDHRA PRADESH,MISHMI,1
ANDHRA PRADESH,NEPALI,12414
ANDHRA PRADESH,NISSI/DAFLA,24
ANDHRA PRADESH,ODIA,494498
ANDHRA PRADESH,OTHERS,30855
ANDHRA PRADESH,PUNJABI,28109
ANDHRA PRADESH,RABHA,3
ANDHRA PRADESH,SANSKRIT,13793
ANDHRA PRADESH,SANTALI,236
ANDHRA PRADESH,SEMA,12
ANDHRA PRADESH,SHERPA,19
ANDHRA PRADESH,TAMIL,1150540
ANDHRA PRADESH,TANGSA,3
ANDHRA PRADESH,TELUGU,78175399
ANDHRA PRADESH,TIBETAN,37
ANDHRA PRADESH,URDU,7715670
ANDHRA PRADESH,WANCHO,7
ARUNACHAL PRADESH,ADI,241652
ARUNACHAL PRADESH,ASSAMESE,239352
ARUNACHAL PRADESH,BENGALI,103689
ARUNACHAL PRADESH,BHOTIA,62665
ARUNACHAL PRADESH,BODO,7231
ARUNACHAL PRADESH,DEORI,4855
ARUNACHAL PRADESH,DIMASA,220
ARUNACHAL PRADESH,DOGRI,1096
ARUNACHAL PRADESH,ENGLISH,319355
ARUNACHAL PRADESH,GARO,6618
ARUNACHAL PRADESH,GUJARATI,385
ARUNACHAL PRADESH,HINDI,868475
ARUNACHAL PRADESH,KARBI/MIKIR,1552
ARUNACHAL PRADESH,KHASI,251
ARUNACHAL PRADESH,LADAKHI,38
ARUNACHAL PRADESH,LUSHAI/MIZO,1467
ARUNACHAL PRADESH,MARATHI,2413
ARUNACHAL PRADESH,MIRI/MISHING,11007
ARUNACHAL PRADESH,MISHMI,42167
ARUNACHAL PRADESH,NEPALI,101613
ARUNACHAL PRADESH,NISSI/DAFLA,397885
ARUNACHAL PRADESH,NOCTE,30403
ARUNACHAL PRADESH,ODIA,6987
ARUNACHAL PRADESH,OTHERS,77006
ARUNACHAL PRADESH,PUNJABI,4295
ARUNACHAL PRADESH,RABHA,108
ARUNACHAL PRADESH,SANSKRIT,504
ARUNACHAL PRADESH,SANTALI,1741
ARUNACHAL PRADESH,SEMA,95
ARUNACHAL PRADESH,SHERPA,218
ARUNACHAL PRADESH,TAMIL,1373
ARUNACHAL PRADESH,TANGSA,36789
ARUNACHAL PRADESH,TELUGU,1741
ARUNACHAL PRADESH,TIBETAN,5547
ARUNACHAL PRADESH,URDU,1846
ARUNACHAL PRADESH,WANCHO,58499
ASSAM,ADI,4212
ASSAM,ASSAMESE,22311193
ASSAM,BENGALI,11895530
ASSAM,BHOTIA,206
ASSAM,BODO,1490115
ASSAM,DEORI,29416
ASSAM,DIMASA,132965
ASSAM,DOGRI,1890
ASSAM,ENGLISH,2511435
ASSAM,GARO,185818
ASSAM,GUJARATI,9620
ASSAM,HINDI,7875804
ASSAM,KARBI/MIKIR,532925
ASSAM,KHASI,46566
ASSAM,LADAKHI,57
ASSAM,LUSHAI/MIZO,7268
ASSAM,MARATHI,12589
ASSAM,MIRI/MISHING,647925
ASSAM,MISHMI,1697
ASSAM,NEPALI,704580
ASSAM,NISSI/DAFLA,1891
ASSAM,NOCTE,288
ASSAM,ODIA,270933
ASSAM,OTHERS,237368
ASSAM,PUNJABI,26870
ASSAM,RABHA,113615
ASSAM,SANSKRIT,7078
ASSAM,SANTALI,219233
ASSAM,SEMA,1974
ASSAM,SHERPA,124
ASSAM,TAMIL,6651
ASSAM,TANGSA,1785
ASSAM,TELUGU,27647
ASSAM,TIBETAN,544
ASSAM,URDU,22398
ASSAM,WANCHO,668
BIHAR,ADI,62
BIHAR,ASSAMESE,3532
BIHAR,BENGALI,941926
BIHAR,BHOTIA,15
BIHAR,BODO,27
BIHAR,DIMASA,5
BIHAR,DOGRI,301
BIHAR,ENGLISH,2835668
BIHAR,GARO,5
BIHAR,GUJARATI,14682
BIHAR,HINDI,93033512
BIHAR,KHASI,10
BIHAR,LADAKHI,33
BIHAR,LUSHAI/MIZO,106
BIHAR,MARATHI,2977
BIHAR,MIRI/MISHING,4
BIHAR,MISHMI,6
BIHAR,NEPALI,13595
BIHAR,NISSI/DAFLA,18
BIHAR,NOCTE,1
BIHAR,ODIA,3915
BIHAR,OTHERS,109577
BIHAR,PUNJABI,16100
BIHAR,RABHA,12
BIHAR,SANSKRIT,157855
BIHAR,SANTALI,484704
BIHAR,TAMIL,1479
BIHAR,TANGSA,4
BIHAR,TELUGU,2402
BIHAR,TIBETAN,39
